mouse_identity,time_s,zscore_DA,behavior_active,distance_head_res__head_int,distance_head_res__hind_int,distance_head_int__hind_res,distance_hind_res__hind_int,angle_head_res__head_int_deg,angle_head_res__hind_int_deg,angle_head_int__hind_res_deg,velocity_resident,velocity_intruder,hmm_state,hmm_state_smoothed
n5,184.1,-0.549332990906553,,18.86278562133164,21.532869217668324,24.755164858454517,27.30982623193516,94.33664823296448,121.05447693599,75.13438310597982,20.29534494497389,0.8092566455744697,3,3
n5,184.2,-0.3488967041645254,,20.87729783603889,23.291316468941865,26.76426949094188,29.10570336490579,95.7054159794048,122.10527939296792,75.63703482726453,17.0311140426419,0.8020636832294797,3,3
n5,184.3,-0.3133676243770954,,22.33176672432108,24.487891391709216,28.24212487245269,30.35947117807698,97.3957143136194,122.69642275846913,77.04666043079875,10.799864557259534,0.7866244137857107,3,3
n5,184.4,-0.3708151383547284,,23.245507899101952,25.163196081857635,29.18860320897127,31.096574381440032,99.04578742858013,123.06966750754248,78.75035514084364,5.1926634524112005,0.7633950324653789,3,3
n5,184.5,-0.5102537711544883,,23.659047602940724,25.364107308368048,29.632274032547265,31.35542373609025,100.545749232118,123.36858990635989,80.48023763629186,1.2714252502445915,0.7348838045370318,3,3
n5,184.6,-0.6982460931662179,,23.62390670409425,25.141129146462475,29.617371975898717,31.18197157456985,101.88570882082638,123.66291568057513,82.14449417844136,4.808052321681393,0.7058461870725249,3,3
n5,184.7,-0.8762883015974684,,23.19837621248721,24.547264460300035,29.197572280860847,30.62702320314728,103.0991979142787,123.9721527087492,83.75087420015743,8.713932781949106,0.6838773306532303,3,3
n5,184.8,-0.915407785430212,,22.44578528793365,23.63759468781452,28.43287638420497,29.744876520609356,104.2460111134274,124.28150493717608,85.37520542013716,12.102602151442037,0.6794944966418905,3,3
n5,184.9,-0.8398557863974078,,21.433936350552266,22.46925000585796,27.387989982964356,28.5926531680072,105.41420822789308,124.55051366880484,87.15543834020453,14.936313570377363,0.7045361337828097,3,3
n5,185.0,-0.7679811780193421,,20.235100682177325,21.101633870572,26.13139179802568,27.22999965687607,106.7357407557837,124.7167635387354,89.30397707806257,17.20736641129043,0.7684856214160518,3,3
n5,185.1,-0.7851438089521078,,18.926140414536903,19.596822109909205,24.734586673939685,25.71895593896465,108.41662494270496,124.69739911757404,92.13662910008226,18.913399910722664,0.8752397649349207,3,3
n5,185.2,-0.8355474957757478,,17.58818067831712,18.02002735574867,23.271080554679237,24.12380168786052,110.7828381416668,124.39198592213496,96.11564192775424,20.053709229587085,1.0234049608973796,3,3
n5,185.3,-0.7582377633328029,Investigation,16.30483939726892,16.43987704424724,21.81451917215509,22.51062296378906,114.32613186930956,123.6921939383742,101.88513706021672,18.91101542081733,1.1849900882181876,3,3
n5,185.4,-0.6940993785407392,Investigation,15.222622353372875,15.17482817339843,20.553017152225458,21.207793525887087,117.82350468733308,123.53789194669736,107.52978593446512,17.317302941792672,1.370630247128312,3,3
n5,185.5,-0.7178631586981087,Investigation,14.290459332590835,14.016206460004152,19.387693373148945,19.991491310160143,123.0739698069964,123.07325663108588,115.91001735677906,17.040750503143958,1.6381334448973868,3,3
n5,185.6,-0.1754504604643866,Investigation,13.531184050629909,12.985728426396904,18.352578246958394,18.887642099669776,129.50191833749625,122.20828656521256,126.14407824053777,16.34944142590311,2.0585144064451875,3,3
n5,185.7,1.511729811208107,Investigation,12.946479989271996,12.113897942462426,17.442655799941306,17.922730624749697,136.03659849988162,121.53644598808756,136.45490817513985,15.273113912799811,2.5437368845110684,3,3
n5,185.8,3.2438915296393653,Investigation,12.568261356919756,11.44203824346966,16.70072862996681,17.142501490102397,141.7101756116641,120.70787784714064,146.37739960414078,13.952527290746982,2.9897100466673665,0,0
n5,185.9,4.18898819269966,Investigation,12.3473377284651,10.944200816118352,16.132882004610888,16.559849081157935,145.41866205569488,119.20073166132704,154.86834299135782,12.64717543122548,3.326130774089852,0,0
n5,186.0,4.351192169850895,Investigation,12.20082051524662,10.585508187869287,15.63127617356389,16.116670292331982,148.06122695951336,118.96100739499576,161.49451278625423,11.04254408912364,3.721568302481942,0,0
n5,186.1,4.005676655466283,Investigation,12.06493049540297,10.35505959224782,15.15367728753957,15.816756083352756,149.4268638838103,120.00181457704724,166.28744231862927,8.888156275248258,4.179444859588218,0,0
n5,186.2,3.831427771347999,Investigation,11.894844861819102,10.207893592928542,14.679205026760425,15.641998898325513,150.5560231558568,122.26521078426008,169.95543949694834,6.5249560926059145,4.448612644729288,0,0
n5,186.3,3.2916069028221733,Investigation,11.597944079162598,10.0852568449863,14.14086152685343,15.565475526286184,151.90110499296645,125.84621952064369,172.88493121356902,4.159120609845982,4.573050020049881,0,0
n5,186.4,2.8155805814521173,Investigation,11.110654962637952,9.973024156419896,13.472233925194308,15.529646141443903,154.63584175723634,131.89954521614897,174.95515558787525,2.600243458204205,4.583817963351664,0,0
n5,186.5,2.32009942252031,Investigation,10.62688542908633,10.016953011352284,12.80564855197335,15.499566741740551,160.5933729130653,138.7028492368117,179.27785362564435,3.0854378663073887,4.249873449819451,0,0
n5,186.6,2.1797638622358915,Investigation,10.192661604495864,10.254241250326224,12.267751842062795,15.562406188541807,167.67237973888706,146.20272246785987,172.54825366878129,3.557663141642605,3.801188620944512,0,0
n5,186.7,2.625366425684499,Investigation,9.765975781098335,10.528414462088312,11.8807391373561,15.724567030185018,174.6391788531073,153.92936901371093,166.15704617680717,3.0227703694882653,3.648998598900469,0,0
n5,186.8,2.782334739343291,Investigation,9.39599204343376,10.789116764735285,11.543788256655874,15.846691806373387,179.16656210612365,162.18079628998055,161.42965551003238,1.7247673589959818,3.6813401471273615,0,0
n5,186.9,2.34926246447609,Investigation,9.040306805341595,10.99947296975317,11.159033652661346,15.863034522374877,174.30266805283782,170.46435698124264,157.96935490296858,0.4816797149333002,3.640073315776752,0,0
n5,187.0,2.602103597976637,Investigation,8.640898305918629,11.121323664656442,10.71837383495493,15.775421342022696,172.18637101189117,176.92394144665047,155.7466055985832,0.1130200712536755,3.4892469777576385,0,0
n5,187.1,2.6372682229991784,Investigation,8.200483592167588,11.221353970021465,10.286336383450298,15.66603622774544,170.75534319426384,177.3379605635284,153.41089990214908,0.1245722554896505,3.3336393467440097,0,0
n5,187.2,1.999116495157219,Investigation,7.723295823409966,11.287885764198704,9.865916098736042,15.522599643707244,168.79433047043307,171.45666276155856,150.68402601764512,0.1569808309894707,3.2013915223728278,0,0
n5,187.3,1.4923118329171652,Investigation,7.185135793105543,11.369892236305644,9.435633922380646,15.408647090686117,165.6496550849396,165.7494581346749,146.33759004288038,0.2065352958611883,3.087472264266278,0,0
n5,187.4,1.8902863756109267,Investigation,6.622266792732529,11.415985817009656,9.050383588524936,15.26667667943892,161.00752730181284,159.79320968117162,140.59862477109664,0.182659943630498,2.904780198663358,0,0
n5,187.5,3.3953055038798903,Investigation,6.099564717652785,11.468514330814155,8.732417380973713,15.13907580159669,155.62449678355398,154.2192009135778,134.2004376022635,0.1929634372972815,2.5435337952623027,0,0
n5,187.6,4.999127024925185,Investigation,5.675674388025751,11.46722765772413,8.50802655837992,15.001256180345187,150.7726057365824,150.2140817492809,128.4579868594971,0.6027120205941061,2.1333707830416726,0,0
n5,187.7,5.266124843587459,Investigation,5.354654633706647,11.47538121848773,8.392353339021188,14.930708872804145,146.1358365189379,147.21284925245996,123.21231535422942,1.201783545642653,1.7987198433604237,0,0
n5,187.8,4.421106152543289,Investigation,5.14891775313235,11.493512116324794,8.340923523700829,14.887253277398692,144.62629323339164,145.11076163162403,121.76930690455488,1.0201953548956617,1.4277898255555506,0,0
n5,187.9,3.865289942126472,Investigation,5.057401847063168,11.443986552967194,8.31253703428203,14.791887392722955,145.37956560630482,144.11787547793554,122.60605154032488,0.2631594333174145,0.9475473135218176,0,0
n5,188.0,3.996526354497784,Investigation,5.0595973784192525,11.342841866573355,8.258665820239225,14.626942317413,146.38292518337673,144.08719699554004,123.51410054336613,0.5048536992064955,0.6633514680286384,0,0
