subject_name,bout_phase,syllable,mean_DA,n_frames
p1,Short_Term-1,0,0.7922843132191341,153
p1,Short_Term-1,1,0.5262089995695799,37
p1,Short_Term-1,2,0.7038958808854554,72
p1,Short_Term-1,3,0.7215243186614974,171
p1,Short_Term-1,4,0.8622776571066684,101
p1,Short_Term-1,5,0.8989455489079838,419
p1,Short_Term-1,6,0.5518424207081262,64
p1,Short_Term-1,7,0.416559927215172,328
p1,Short_Term-1,8,0.8424310716076037,46
p1,Short_Term-1,9,0.3138089649791018,28
p1,Short_Term-1,10,0.9826632230242086,334
p1,Short_Term-1,11,0.14794622760303508,30
p1,Short_Term-1,12,0.05741383015805252,17
p1,Short_Term-1,13,-0.18038668988781162,12
p1,Short_Term-1,14,0.2677172607684234,30
p1,Short_Term-1,15,0.07014559389126256,2
p1,Short_Term-1,16,1.333353257115014,4
p1,Short_Term-1,17,1.2186415406179578,19
p1,Short_Term-1,18,0.6506919226768505,150
p1,Short_Term-1,19,1.22636388699846,4
p1,Short_Term-1,20,0.42808882500822054,443
p1,Short_Term-1,21,1.062487019335988,1
p1,Short_Term-1,22,-0.040593334416632695,9
p1,Short_Term-1,23,-0.10785675414068992,2365
p1,Short_Term-1,24,0.11104599286168351,13
p1,Short_Term-1,25,0.17517710420769028,15
p1,Short_Term-1,26,0.8919961629100289,7
p1,Short_Term-1,27,0.02723754614396413,705
p1,Short_Term-1,29,-0.08846402089245745,8
p1,Short_Term-1,30,1.0798570121617737,368
p1,Short_Term-1,31,0.5432816231250653,26
p1,Short_Term-1,32,0.4497136397160619,3
p1,Short_Term-1,34,-0.7160216896244186,3
p1,Short_Term-1,38,0.5070752936025676,3
p1,Short_Term-1,39,-0.0685191629072207,13
p1,Short_Term-1,42,0.49220139053969775,3
p1,Short_Term-1,73,0.8913356605284937,7
p1,Short_Term-1,88,1.0573474474434374,2
p1,Short_Term-2,0,-0.4015485000985349,85
p1,Short_Term-2,1,-0.40690407127587497,37
p1,Short_Term-2,2,-0.5011293798987985,23
p1,Short_Term-2,3,-0.3009693503949387,89
p1,Short_Term-2,4,-0.2424514546936813,28
p1,Short_Term-2,5,-0.2639637250763557,67
p1,Short_Term-2,6,-0.4860379423970117,21
p1,Short_Term-2,7,-0.3660048465144991,95
p1,Short_Term-2,8,0.05340420134149588,77
p1,Short_Term-2,9,-0.5929480699226264,15
p1,Short_Term-2,10,0.08463119314396671,169
p1,Short_Term-2,11,-0.7608131136408103,6
p1,Short_Term-2,12,-0.7803043557892003,3
p1,Short_Term-2,13,-0.7863531694523255,6
p1,Short_Term-2,14,-0.914908839757625,14
p1,Short_Term-2,15,-0.12831233876175832,12
p1,Short_Term-2,16,-0.8660519827082107,4
p1,Short_Term-2,17,-0.6539616811261675,6
p1,Short_Term-2,18,-0.18013786296003445,158
p1,Short_Term-2,19,-1.0079494983504345,2
p1,Short_Term-2,20,-1.0273992284128808,507
p1,Short_Term-2,21,-0.9784565167632979,6
p1,Short_Term-2,22,-0.7301450565088774,2
p1,Short_Term-2,23,-0.4241636853775327,160
p1,Short_Term-2,24,-0.7368784863167698,8
p1,Short_Term-2,26,-0.14952964902216143,9
p1,Short_Term-2,27,0.23894199682489217,549
p1,Short_Term-2,28,0.4023870472287306,2
p1,Short_Term-2,30,-0.11550799892805738,806
p1,Short_Term-2,31,-0.011331620943704879,12
p1,Short_Term-2,32,-0.8535925355306189,1
p1,Short_Term-2,33,-0.0613676356322249,10
p1,Short_Term-2,35,-0.0828132035826893,1
p1,Short_Term-2,37,-0.3812930653438355,2
p1,Short_Term-2,38,-0.4340107204509967,1
p1,Short_Term-2,40,0.5492256036675492,2
p1,Short_Term-2,44,0.8766177686544051,1
p1,Short_Term-2,47,0.051251173365618935,4
p1,Short_Term-2,55,-0.7065632895491963,7
p1,Short_Term-2,88,-0.07635676558300575,2
p1,Short_Term-2,89,0.2609358143752166,3
p1,Novel-1,0,-0.009727523807711642,92
p1,Novel-1,1,0.499397735753731,14
p1,Novel-1,2,-0.105246530737318,27
p1,Novel-1,3,0.22831109834243574,116
