syllable,n,mean_DA,median_DA
0,55,0.08394648096622215,0.15846851893324077
1,55,0.0763703790480531,0.08731244306595701
2,55,0.20099620011083116,0.2761497998908937
3,55,0.10456798521477703,0.14533360368477033
4,55,0.1535211319190685,0.18570999195454538
5,55,-0.06015037459483223,-0.005631279152616718
7,55,-0.03624392248852006,0.017017022272254666
8,55,0.07103445416799282,0.14561506813128372
10,55,0.050593640906692966,0.08463119314396671
11,53,-0.06707576508857988,-0.023238970711299975
18,54,0.04159446981695413,-0.0113950969749871
20,55,-0.07596741919654025,0.1425826057589607
23,54,-0.16704456912472565,-0.11068981436015188
27,53,0.15026334835110605,0.046283932049946484
30,53,-0.09251163012529565,-0.1372384440459612
