group_a,group_b,n_a,n_b,statistic,p_value
0,1,55,55,1505.0,0.9666206553055265
0,2,55,55,1370.0,0.3959388370593242
0,3,55,55,1498.0,0.9332997039414315
0,4,55,55,1415.0,0.5619955004262209
0,5,55,55,1724.0,0.20716887591153244
0,7,55,55,1717.0,0.22263870479076076
0,8,55,55,1500.0,0.9428106214114035
0,10,55,55,1591.0,0.6410041357416884
0,11,55,53,1666.0,0.20115545258624912
0,18,55,54,1569.0,0.6128141043309339
0,20,55,55,1688.0,0.2954800705123788
0,23,55,54,1861.0,0.02286052320923025
0,27,55,53,1345.0,0.4912655305182282
0,30,55,53,1728.0,0.09705770578754165
1,2,55,55,1387.0,0.4549017296080322
1,3,55,55,1503.0,0.9570918763772573
1,4,55,55,1416.0,0.5660341741973474
1,5,55,55,1717.0,0.22263870479076076
1,7,55,55,1711.0,0.23654264629766075
1,8,55,55,1497.0,0.9285477280565382
1,10,55,55,1578.0,0.6975872897663129
1,11,55,53,1659.0,0.2167382279507929
1,18,55,54,1579.0,0.570940671802888
1,20,55,55,1692.0,0.28457972085183725
1,23,55,54,1876.0,0.01794909059156604
1,27,55,53,1359.0,0.54700094350058
1,30,55,53,1714.0,0.11566067407942292
2,3,55,55,1639.0,0.45130194006348456
2,4,55,55,1555.0,0.8017506428012668
2,5,55,55,1818.0,0.06825278604011235
2,7,55,55,1816.0,0.07008236946657385
2,8,55,55,1635.0,0.46579756936798544
2,10,55,55,1684.0,0.30665653774563406
2,11,55,53,1751.0,0.07176041093863597
2,18,55,54,1665.0,0.27664862160691606
2,20,55,55,1802.0,0.08404491104409373
2,23,55,54,1945.0,0.0053552740622338025
2,27,55,53,1493.0,0.8296948646832109
2,30,55,53,1808.0,0.031481779187160955
3,4,55,55,1432.0,0.6324711407708381
3,5,55,55,1741.0,0.17287713455884068
3,7,55,55,1734.0,0.18644467240992235
3,8,55,55,1514.0,0.9952301588188605
3,10,55,55,1573.0,0.7198279830498742
3,11,55,53,1667.0,0.19899780932639333
3,18,55,54,1588.0,0.5344600651977942
3,20,55,55,1684.0,0.30665653774563406
3,23,55,54,1898.0,0.012419330651552265
3,27,55,53,1401.0,0.7307344669551457
3,30,55,53,1772.0,0.05364515160279583
4,5,55,55,1795.0,0.09182722063421447
4,7,55,55,1781.0,0.10912402254195558
4,8,55,55,1593.0,0.6324711407708381
4,10,55,55,1663.0,0.3698674122403166
4,11,55,53,1721.0,0.10603600552369953
4,18,55,54,1629.0,0.38446602872159774
4,20,55,55,1774.0,0.11868998526750438
4,23,55,54,1896.0,0.01285075234355124
4,27,55,53,1444.0,0.9363234227306664
4,30,55,53,1760.0,0.06346143724622676
5,7,55,55,1487.0,0.8811957003313436
5,8,55,55,1308.0,0.22263870479076076
5,10,55,55,1364.0,0.37628314252311323
5,11,55,53,1454.0,0.9852906050822239
5,18,55,54,1375.0,0.5069230775667717
5,20,55,55,1482.0,0.8576673252362864
5,23,55,54,1667.0,0.27133212189276534
5,27,55,53,1193.0,0.10471446482994289
5,30,55,53,1529.0,0.6625963207686182
7,8,55,55,1314.0,0.23654264629766075
7,10,55,55,1369.0,0.3926204993526823
7,11,55,53,1485.0,0.8682129565864871
7,18,55,54,1395.0,0.5875262830329777
7,20,55,55,1494.0,0.9143077535205227
7,23,55,54,1697.0,0.1999064345642958
7,27,55,53,1213.0,0.13374267022099004
7,30,55,53,1570.0,0.4912655305182282
8,10,55,55,1581.0,0.6843650756330741
8,11,55,53,1649.0,0.2404780064152584
8,18,55,54,1567.0,0.6213489821566048
8,20,55,55,1681.0,0.3152203688603741
8,23,55,54,1859.0,0.02359648938395426
8,27,55,53,1384.0,0.6537040719238272
8,30,55,53,1724.0,0.10211063531041178
10,11,55,53,1608.0,0.35661889989334794
10,18,55,54,1520.0,0.8343772713561003
10,20,55,55,1631.0,0.48054821119972513
10,23,55,54,1827.0,0.038480730711345355
10,27,55,53,1303.0,0.3439400681426952
10,30,55,53,1671.0,0.19053634022810928
11,18,53,54,1326.0,0.5149698151293896
11,20,53,55,1419.0,0.8153502893944885
11,23,53,54,1585.0,0.33885601242410857
11,27,53,53,1153.0,0.11274477460527477
11,30,53,53,1469.0,0.685924288287648
18,20,54,55,1566.0,0.6256357002331381
18,23,54,54,1722.0,0.10543331915997196
18,27,54,53,1288.0,0.3746003310521615
18,30,54,53,1612.0,0.2607332612904143
20,23,55,54,1683.0,0.2313183662063304
20,27,55,53,1221.0,0.14696347605611823
20,30,55,53,1546.0,0.5886419374024418
23,27,54,53,1057.0,0.01995438685873655
23,30,54,53,1371.0,0.7108366307403213
27,30,53,53,1710.0,0.05395696716975892
