state,example_rank,duration_rank_within_state,start_frame,mid_frame,end_frame,n_frames,start_time_s,mid_time_s,end_time_s,duration_s,manual_mode,manual_count,mean_DA
0,1,1,13941,13991,14041,101,1662.4,1667.4,1672.4,10.0,,101,0.015773696988480645
0,2,2,12078,12127,12175,98,1476.1,1481.0,1485.8,9.700000000000045,,98,1.4392608828639677
0,3,3,2156,2199,2241,86,399.6,403.9,408.1,8.5,,86,-0.5517210977300632
0,4,4,13853,13892,13931,79,1653.6,1657.5,1661.4,7.800000000000182,,79,0.1877326391099271
0,5,5,11537,11570,11602,66,1416.6,1419.9,1423.1,6.5,,66,-0.9362126206568392
0,6,6,13600,13628,13656,57,1628.3,1631.1,1633.9,5.600000000000136,,57,0.1637166908266976
0,7,7,7150,7177,7204,55,968.6,971.3,974.0,5.399999999999977,,55,0.14706858654457905
0,8,8,5802,5829,5855,54,764.2,766.9,769.5,5.2999999999999545,,54,0.013071888577074699
0,9,9,6541,6566,6590,50,907.7,910.2,912.6,4.899999999999977,,50,-0.2708354480812388
0,10,10,10395,10418,10441,47,1302.4,1304.7,1307.0,4.599999999999909,,47,-0.4645321859372747
1,1,1,14152,14212,14272,121,1683.5,1689.5,1695.5,12.0,,121,0.04209807438073777
1,2,2,9306,9351,9395,90,1193.5,1198.0,1202.4,8.900000000000091,Investigation,90,0.7080156682536128
1,3,3,13390,13428,13466,77,1607.3,1611.1,1614.9,7.600000000000136,,77,-0.812476996239906
1,4,4,14483,14519,14554,72,1716.6,1720.2,1723.7,7.100000000000136,,72,0.024985658667962613
1,5,5,1762,1794,1826,65,360.2,363.4,366.6,6.400000000000034,,65,-1.6832279429238848
1,6,6,6159,6191,6223,65,869.5,872.7,875.9,6.399999999999977,,65,-0.5616439331377823
1,7,7,1341,1372,1402,62,318.1,321.2,324.2,6.099999999999966,,62,0.08125210657791353
1,8,8,11885,11914,11942,58,1451.4,1454.3,1457.1,5.699999999999818,,58,-0.18691099451644108
1,9,9,5319,5345,5370,52,715.9,718.5,721.0,5.100000000000023,,52,0.2397273797776695
1,10,10,2716,2741,2766,51,455.6,458.1,460.6,5.0,,51,-0.45526647092813266
2,1,1,14555,14596,14636,82,1723.8,1727.9,1731.9,8.100000000000136,,82,-0.1455014218740348
2,2,2,10101,10141,10180,80,1273.0,1277.0,1280.9,7.900000000000091,,80,-0.0722909465685397
2,3,3,13467,13501,13534,68,1615.0,1618.4,1621.7,6.7000000000000455,,68,-0.8379303976059704
2,4,4,3767,3800,3833,67,560.7,564.0,567.3,6.599999999999909,,67,2.1382948971201734
2,5,5,5371,5400,5429,59,721.1,724.0,726.9,5.7999999999999545,,59,0.5151144554238012
2,6,6,10587,10616,10645,59,1321.6,1324.5,1327.4,5.800000000000182,,59,-0.23336843136468763
2,7,7,62,90,118,57,190.2,193.0,195.8,5.600000000000023,Investigation,57,3.502258250834733
2,8,8,2643,2668,2692,50,448.3,450.8,453.2,4.899999999999977,,50,-0.01538079322054828
2,9,9,14655,14680,14704,50,1733.8,1736.3,1738.7,4.900000000000091,,50,-0.40934623177373586
2,10,10,11121,11145,11169,49,1375.0,1377.4,1379.8,4.7999999999999545,,49,-0.09415475690551287
3,1,1,11394,11434,11474,81,1402.3,1406.3,1410.3,8.0,,81,0.6907636060526748
3,2,2,1622,1654,1685,64,346.2,349.4,352.5,6.300000000000011,,64,-1.3222761244096173
3,3,3,859,889,918,60,269.9,272.9,275.8,5.900000000000034,,60,-0.14051123480167918
3,4,4,8657,8684,8711,55,1119.3,1122.0,1124.7,5.400000000000091,,55,6.141380164864081
3,5,5,3107,3133,3159,53,494.7,497.3,499.9,5.199999999999989,,53,-0.1819258191065101
3,6,6,10919,10944,10969,51,1354.8,1357.3,1359.8,5.0,,51,-0.44173530919834275
3,7,7,9749,9774,9798,50,1237.8,1240.3,1242.7,4.900000000000091,,50,-0.9281569173367439
3,8,8,12815,12839,12863,49,1549.8,1552.2,1554.6,4.7999999999999545,,49,0.2563944990792231
3,9,9,8916,8940,8963,48,1145.2,1147.6,1149.9,4.7000000000000455,,48,0.9438186794715343
3,10,10,14892,14914,14936,45,1757.5,1759.7,1761.9,4.400000000000091,,45,1.761382075502628
