state,start_frame,end_frame,mid_frame,n_frames,start_time_s,end_time_s,mid_time_s,duration_s,mean_DA,manual_mode,manual_count,duration_rank_within_state
0,0,6,3,7,184.0,184.6,184.3,0.5999999999999943,0.5966068897317697,,7,156
0,19,32,26,14,185.9,187.2,186.6,1.299999999999983,0.13051362990356383,,14,90
0,42,61,52,20,188.2,190.1,189.2,1.9000000000000057,1.4671001349169106,,20,56
0,133,143,138,11,197.3,198.3,197.8,1.0,2.068942989345547,,11,115
0,162,175,169,14,200.2,201.5,200.9,1.3000000000000114,1.2412747021992045,,14,91
0,707,718,713,12,254.7,255.8,255.3,1.1000000000000227,-0.004842196762857483,,12,107
0,849,858,854,10,268.9,269.8,269.4,0.9000000000000341,-0.15327229875671106,,10,125
0,919,931,925,13,275.9,277.1,276.5,1.2000000000000455,0.25498197143824225,,13,100
0,961,988,975,28,280.1,282.8,281.5,2.6999999999999886,-0.39301354962435264,,28,31
0,1030,1042,1036,13,287.0,288.2,287.6,1.1999999999999886,-0.22814103427843652,,13,101
0,1050,1054,1052,5,289.0,289.4,289.2,0.39999999999997726,0.10081223899474027,,5,190
0,1060,1067,1064,8,290.0,290.7,290.4,0.6999999999999886,-0.40644635706268584,,8,143
0,1089,1112,1101,24,292.9,295.2,294.1,2.3000000000000114,-0.6838976339165249,,24,41
0,1123,1139,1131,17,296.3,297.9,297.1,1.599999999999966,-0.2763110659182152,,17,74
0,1153,1174,1164,22,299.3,301.4,300.4,2.099999999999966,-0.8977588419878887,,22,47
0,1181,1201,1191,21,302.1,304.1,303.1,2.0,-0.8019447863030497,,21,53
0,1253,1257,1255,5,309.3,309.7,309.5,0.39999999999997726,-0.6826695949070478,,5,191
0,1273,1288,1281,16,311.3,312.8,312.1,1.5,-0.20426870829079308,,16,81
0,1329,1333,1331,5,316.9,317.3,317.1,0.4000000000000341,-0.38211855803682626,,5,192
0,1410,1415,1413,6,325.0,325.5,325.3,0.5,-0.11536767181090825,,6,175
0,1456,1475,1466,20,329.6,331.5,330.6,1.8999999999999773,-0.6328319189211691,,20,57
0,1480,1508,1494,29,332.0,334.8,333.4,2.8000000000000114,-0.7073895771606317,,29,28
0,1515,1522,1519,8,335.5,336.2,335.9,0.6999999999999886,-0.8324698742045729,,8,144
0,1563,1580,1572,18,340.3,342.0,341.2,1.6999999999999886,-2.1492583513486156,,18,71
0,1930,1939,1935,10,377.0,377.9,377.5,0.8999999999999773,0.2836072217241905,,10,126
0,1962,1973,1968,12,380.2,381.3,380.8,1.1000000000000227,-0.17471476829547225,,12,108
0,2014,2020,2017,7,385.4,386.0,385.7,0.6000000000000227,-0.8392934416887506,,7,157
0,2052,2080,2066,29,389.2,392.0,390.6,2.8000000000000114,-0.1632788133437055,,29,29
0,2111,2122,2117,12,395.1,396.2,395.7,1.099999999999966,-0.03242525548670053,,12,109
0,2131,2145,2138,15,397.1,398.5,397.8,1.3999999999999773,1.1046801676796973,,15,83
