transition_idx,from_frame,to_frame,time_s,from_state,to_state,behavior_active,zscore_DA
7,6,7,184.7,0,3,,0.3100102674013789
19,18,19,185.9,3,0,,0.3137882140371783
33,32,33,187.3,0,2,,0.8014983467954797
42,41,42,188.2,2,0,,0.971089944358456
62,61,62,190.2,0,2,,1.0339880826962151
119,118,119,195.9,2,1,Investigation,3.665074003015275
133,132,133,197.3,1,0,,1.7884881563239194
144,143,144,198.4,0,2,,1.8090459946851247
162,161,162,200.2,2,0,,0.9685726303985588
176,175,176,201.6,0,2,,1.4661672086065054
202,201,202,204.2,2,1,,1.3281680810247622
209,208,209,204.9,1,2,,1.4729641851544095
227,226,227,206.7,2,1,,1.0353456291499057
275,274,275,211.5,1,3,,0.9890491534191904
306,305,306,214.6,3,1,,-0.0377411906412421
321,320,321,216.1,1,3,,0.2577877868713332
342,341,342,218.2,3,1,,1.338408925746383
357,356,357,219.7,1,2,,-0.3167580586222998
380,379,380,222.0,2,1,,-0.0157442335520533
386,385,386,222.6,1,3,,-0.2465716709573912
411,410,411,225.1,3,1,,-0.978407156077832
424,423,424,226.4,1,3,,-0.5180466091542482
433,432,433,227.3,3,1,,-0.2191865900602989
465,464,465,230.5,1,2,,0.627104693397963
478,477,478,231.8,2,1,,0.1901940638396054
525,524,525,236.5,1,2,,0.4942573354338805
539,538,539,237.9,2,1,,1.8984757772019625
557,556,557,239.7,1,2,,-0.0600586890655952
568,567,568,240.8,2,1,,0.066284221931397
577,576,577,241.7,1,3,,0.3896377325230603
588,587,588,242.8,3,1,,0.0191778233914505
599,598,599,243.9,1,2,,0.9053517168743525
628,627,628,246.8,2,1,,1.4002625854477548
640,639,640,248.0,1,3,,0.7772720381908707
649,648,649,248.9,3,1,,0.1600118661094223
681,680,681,252.1,1,3,,-0.17488421612318
707,706,707,254.7,3,0,,0.3325492633159964
719,718,719,255.9,0,2,,-0.2107029214859398
758,757,758,259.8,2,1,,0.9488073597719804
768,767,768,260.8,1,2,,0.8713225596694502
778,777,778,261.8,2,1,,0.2088936833926972
801,800,801,264.1,1,3,,0.7385417249893875
819,818,819,265.9,3,1,,0.2475519492643701
833,832,833,267.3,1,3,,-0.7683784880352983
849,848,849,268.9,3,0,,-0.404477877566763
859,858,859,269.9,0,3,,-0.6168450347437386
919,918,919,275.9,3,0,,0.0042627460621658
932,931,932,277.2,0,2,,-0.1000161055733116
961,960,961,280.1,2,0,,-0.6485699684240854
989,988,989,282.9,0,1,Approach,-0.4081070195784634
993,992,993,283.3,1,2,Approach,-0.505860467013213
1030,1029,1030,287.0,2,0,,-0.5853024894045127
1043,1042,1043,288.3,0,2,,-0.6948037137793757
1050,1049,1050,289.0,2,0,,-0.4846741749774909
1055,1054,1055,289.5,0,3,,0.4120978002801609
1060,1059,1060,290.0,3,0,,-0.5154857435609997
1068,1067,1068,290.8,0,2,,-0.4925115298809102
1089,1088,1089,292.9,2,0,,-0.9906149327980552
1113,1112,1113,295.3,0,2,,-0.8489121832744484
1123,1122,1123,296.3,2,0,,0.4042821288956308
1140,1139,1140,298.0,0,2,,-1.15650038934428
1153,1152,1153,299.3,2,0,,-0.8457731982772446
1175,1174,1175,301.5,0,2,,-1.7711772012577895
1181,1180,1181,302.1,2,0,,-1.5192323365820457
1202,1201,1202,304.2,0,1,,-1.1892244936744696
1219,1218,1219,305.9,1,2,,-0.7368797170584561
1253,1252,1253,309.3,2,0,,-0.1410736425500542
1258,1257,1258,309.8,0,3,,-0.6375013298626754
1273,1272,1273,311.3,3,0,,0.0533863082280817
1289,1288,1289,312.9,0,1,,-0.4565930049387212
1329,1328,1329,316.9,1,0,,-0.2431754439726681
1334,1333,1334,317.4,0,2,,0.278280009871603
1341,1340,1341,318.1,2,1,,0.030737801635138
1403,1402,1403,324.3,1,2,,0.0735974430037944
